Date,Close,Volume,Open,High,Low,PorportionalChange,PercentChange,cumChange5Days
11/12/2019,309,46484620,308.75,309.99,308.15,1,0,0
11/13/2019,309.1,54459020,307.91,309.54,307.66,1.00032362459547,0.0323624595469418,0
11/14/2019,309.55,52001870,308.79,309.64,308.09,1.00145583953413,0.145583953413131,0
11/15/2019,311.79,62706190,311.02,311.84,310.26,1.0072363107737,0.72363107737039,0
11/18/2019,312.02,49327980,311.53,312.28,311.03,1.00073767599987,0.0737675999871623,0.0097734627831656
11/19/2019,311.93,67927820,312.68,312.69,311.22,0.999711556951478,-0.0288443048522491,0.0094822006472437
11/20/2019,310.77,79696280,311.28,311.85,309.06,0.996281216939698,-0.371878306030204,0.00540278227110313
11/21/2019,310.27,54664690,310.89,311.01,309.39,0.998391093091354,-0.160890690864623,0.00232595703439986
11/22/2019,310.96,44850230,311.09,311.24,309.85,1.00222386953299,0.222386953298748,-0.00266204817344839
11/25/2019,313.37,48762680,311.98,313.37,311.98,1.00775019295086,0.775019295086188,0.00432664572783947
11/26/2019,314.08,37727950,313.41,314.28,313.06,1.0022656923126,0.226569231260165,0.00689257205142124
11/27/2019,315.48,44793180,314.61,315.48,314.37,1.00445746306673,0.445746306673467,0.0151559030794426
11/29/2019,314.31,36592740,314.86,315.13,314.06,0.996291365538227,-0.370863446177261,0.0130209172656013
12/02/2019,311.64,76110030,314.59,314.66,311.17,0.991505201870765,-0.849479812923548,0.00218677643426024
12/03/2019,309.55,75172710,308.65,309.64,307.13,0.993293543832627,-0.670645616737253,-0.0121900628649905
12/04/2019,311.46,49190400,310.7,312.12,310.32,1.00617024713293,0.617024713293479,-0.00834182373918468
12/05/2019,312.02,40781670,312.23,312.25,310.58,1.00179798368972,0.179798368971928,-0.0109674147331099
12/06/2019,314.87,48956770,314.12,315.31,314.11,1.00913402986988,0.91340298698801,0.00178168050650185
12/09/2019,313.88,34904320,314.44,315.18,313.8,0.996855845269476,-0.314415473052376,0.00718778077268145
12/10/2019,313.53,53107130,313.82,314.55,312.81,0.998884924174844,-0.111507582515613,0.012857373606844
12/11/2019,314.42,53521450,314.03,314.7,313.4393,1.00283864382994,0.283864382993659,0.00950362807423466
12/12/2019,317.13,96585800,314.43,317.99,314.17,1.00861904459004,0.86190445900387,0.0163771553105614
12/13/2019,317.32,81546490,316.87,318.67,316.02,1.00059912338789,0.0599123387885037,0.00778098897958834
12/16/2019,319.5,82836130,319.22,320.15,317.2542,1.00687003655616,0.687003655615781,0.01790493182109
12/17/2019,319.57,61131770,319.92,320.25,319.48,1.00021909233177,0.0219092331768422,0.0192645041941895
12/18/2019,319.59,48199960,320,320.25,319.53,1.00006258409738,0.00625840973806913,0.0164429743655075
12/19/2019,320.9,85388420,319.8,320.98,319.5246,1.00409900184612,0.409900184611534,0.0118878693280486
12/20/2019,320.73,149338200,320.46,321.9742,319.3873,0.99947023995014,-0.0529760049859607,0.0107462498424375
12/23/2019,321.22,53015640,321.59,321.65,321.06,1.00152776478658,0.152776478658057,0.00538341158059907
12/24/2019,321.23,20270010,321.47,321.52,320.9,1.00003113131187,0.00311313118734891,0.00519448008261025
12/26/2019,322.94,31024190,321.65,322.95,321.64,1.00532328860941,0.532328860940745,0.0104821802935036
